,HHID,Durable Goods Consumption (annual) (nominal),Durable Goods Consumption (annual) (real)
0,0004806a172546e99ae07674de291ed7,20900.0,203.8680080127116
1,000a3b8cf97a44219f2ca739d99669c0,2000.0,19.020156893947085
2,000db14d4b284f7cb74f0bd5a03a3550,15333.333333333332,151.25614626608063
3,001e5b26c5b547ff84b1d190ed2c4ba8,15500.0,153.4021352146567
4,002b438e06564a0582c78fd7f61bdfef,250.0,2.5983461076627816
5,003398bb01f04447a386a61099b47b1e,83.33333333333333,0.7539094095753673
6,0034c13e91014cb0b1daf791fdea88be,51380.95238095238,452.52162357208374
7,0036892030f544dbb4b40c588b72f59a,10416.666666666666,111.26077169830197
8,0038af5bc5f64dcdaf9c5c2eca1abdc0,2000.0,19.58108588887354
9,003cc90a927c4247b0c40c406cfd8579,466.6666666666667,4.334789320117835
10,003dd83b52a04ea2ba825d3822a6c897,6000.0,51.9056944117187
11,003e5f39855846ea8361f43e37f851bc,9225.0,84.42421320489855
12,0041636687b345018ae4b46b59292211,416.6666666666667,4.159970888328725
13,004371af0be14f8dbd7db9417472985f,6141.666666666666,60.24893446150199
14,0048aac98a2c40a9be924b94cdbe8f0b,75.0,0.7132558835230156
15,005061e197a949a599ddf701880f2f99,15000.0,141.9440123686972
16,005181de819a4526afe2bf14e2e3d7f2,500.0,4.458920756930646
17,0057020f3fa444f6bbe0fddff676da9b,2166.666666666667,22.803224893235015
18,00614104b33549d396a082c46449461f,138500.0,1319.724523301623
19,007a1f8fd14e47cb98190b0bb33e5277,6000.0,60.40357841308191
20,007acd424d13435fb5a3d836334b972d,8366.666666666668,72.3796072074522
21,007d1550a6014f6b9f8f8aca1ca66ffc,9041.666666666668,91.85067723614131
22,007e60d0bf334854b312ccb2409eed7f,500.0,4.434564594451435
23,00805178892540c2a41f22f59c87664d,16333.333333333334,160.23821686641782
24,0082ee2b4e604e8ebeeeb495b1865d5f,26250.0,231.04562812709767
25,008b58dd0f1746afb1179a76706dae66,2500.0,23.49704562369318
26,008cf8f470064bb2901827f91e0639b2,483.3333333333333,4.943088050524499
